COMPGAP,acres
10O,0.164
10Q,0.213
30A,0.158
30B,0.117
50D,0.167
50E,0.156
60F,0.099
60G,0.087
60H,0.133
60I,0.112
60J,0.104
400F,0.084
400G,0.162
400H,0.153
