COMP,GAP,COMPGAP,TREATMENT,TREE_ID,SPECIES,STATUS_2018,DBH_2018,HEIGHT_2018,HTCB_2018,PVCS_2018,COMMENTS_2018,P_NP,DBH_2013,HTCB_2013,PVCS_2013,ANN_INC,RGR,BA_2013,BA_2018,BAI
400,H,400H,BB,28,DF,L,2.8,24,16,50,,NP,2,3.5,20,0.16,0.08,0.021816,0.04275936,0.004188672
400,H,400H,BB,29,DF,L,3,24,13,45,,NP,2.1,3,40,0.18,0.085714286,0.02405214,0.049086,0.005006772
400,H,400H,BB,30,PP,L,9.6,41,15,15,,NP,7.1,8.1,10,0.5,0.070422535,0.27493614,0.50264064,0.0455409
400,H,400H,BB,31,PP,L,9.1,37,13,15,,NP,6.9,6,20,0.44,0.063768116,0.25966494,0.45164574,0.03839616
400,H,400H,BB,32,DF,L,6.3,30,9,25,,NP,3.5,0.5,,0.56,0.16,0.0668115,0.21646926,0.029931552
400,H,400H,BB,33,IC,L,4.9,20,5,20,,NP,3.3,0,15,0.32,0.096969697,0.05939406,0.13095054,0.014311296
400,H,400H,BB,34,IC,L,4.4,15,3,5,,NP,3.1,0.5,35,0.26,0.083870968,0.05241294,0.10558944,0.0106353
400,H,400H,BB,35,WF,L,4.7,25,18,80,,NP,3.4,1,15,0.26,0.076470588,0.06304824,0.12047886,0.011486124
400,H,400H,BB,36,PP,L,11,38,16,25,,NP,8.3,2.5,15,0.54,0.065060241,0.37572606,0.659934,0.056841588
400,H,400H,BB,37,WF,L,3.9,19,2,0,,NP,2.2,0,5,0.34,0.154545455,0.02639736,0.08295534,0.011311596
400,H,400H,BB,38,PP,L,7.2,31,14,15,,NP,5.5,3,15,0.34,0.061818182,0.1649835,0.28273536,0.023550372
400,H,400H,BB,39,WF,L,5.5,19,7,0,,NP,2.7,0,55,0.56,0.207407407,0.03975966,0.1649835,0.025044768
400,H,400H,BB,41,WF,L,4.1,20,4,0,,NP,2.2,1,10,0.38,0.172727273,0.02639736,0.09168174,0.013056876
400,H,400H,BB,43,PP,L,9.1,36,8,20,,NP,6.7,7.2,55,0.48,0.071641791,0.24483006,0.45164574,0.041363136
400,H,400H,BB,44,PP,L,10.1,42,12,15,,NP,7.7,6.7,45,0.48,0.062337662,0.32336766,0.55636254,0.046598976
400,H,400H,BB,45,IC,L,4.7,15,9,30,,NP,3.9,0,50,0.16,0.041025641,0.08295534,0.12047886,0.007504704
400,H,400H,BB,47,PP,L,10.1,41,9,15,,NP,7.9,4,70,0.44,0.055696203,0.34038414,0.55636254,0.04319568
400,H,400H,BB,48,IC,L,3.7,18,8,40,,NP,2.9,0,40,0.16,0.055172414,0.04586814,0.07466526,0.005759424
400,H,400H,BB,49,IC,L,4.2,18,13,50,,NP,3.1,0,5,0.22,0.070967742,0.05241294,0.09620856,0.008759124
